City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
60,Ustye,RU,2022-02-03 01:17:57,59.6304,39.736,13.57,97,100,4.92,overcast clouds
61,Vaini,TO,2022-02-03 01:09:05,-21.2,-175.2,87.96,70,40,6.91,scattered clouds
62,Menongue,AO,2022-02-03 01:17:58,-14.6585,17.691,66.13,65,42,3.91,scattered clouds
63,Busselton,AU,2022-02-03 01:17:58,-33.65,115.3333,76.05,36,53,16.06,broken clouds
64,Chernyshevskiy,RU,2022-02-03 01:09:14,63.0128,112.4714,-18.04,98,100,1.86,overcast clouds
65,Katsuura,JP,2022-02-03 01:09:34,35.1333,140.3,48.18,47,100,5.73,overcast clouds
66,Ostrovnoy,RU,2022-02-03 01:17:59,68.0531,39.5131,20.43,90,100,15.08,light snow
67,Tuatapere,NZ,2022-02-03 01:13:10,-46.1333,167.6833,58.82,71,100,9.22,overcast clouds
68,Marzuq,YE,2022-02-03 01:17:59,14.4,46.4667,60.15,42,7,4.05,clear sky
69,Guerrero Negro,MX,2022-02-03 01:16:06,27.9769,-114.0611,63.34,37,0,15.1,clear sky
70,Haicheng,CN,2022-02-03 01:18:00,40.8516,122.7475,14.9,60,0,1.3,clear sky
71,Springbok,ZA,2022-02-03 01:18:00,-29.6643,17.8865,60.3,77,87,4.34,overcast clouds
72,Virginia Beach,US,2022-02-03 01:14:51,36.8529,-75.978,44.06,94,100,0.0,mist
73,Costinesti,RO,2022-02-03 01:18:01,43.95,28.6333,37.02,76,100,7.4,overcast clouds
74,Maragogi,BR,2022-02-03 01:18:01,-9.0122,-35.2225,79.25,76,39,8.61,scattered clouds
75,Quelimane,MZ,2022-02-03 01:18:01,-17.8786,36.8883,78.75,83,20,0.0,few clouds
76,Ilulissat,GL,2022-02-03 01:17:21,69.2167,-51.1,-0.38,46,100,25.32,mist
77,Mar Del Plata,AR,2022-02-03 01:18:02,-38.0023,-57.5575,71.62,83,100,3.44,overcast clouds
78,Hasaki,JP,2022-02-03 01:18:02,35.7333,140.8333,43.29,42,100,8.97,overcast clouds
79,Touros,BR,2022-02-03 01:18:03,-5.1989,-35.4608,81.5,76,47,11.92,scattered clouds
80,Tosno,RU,2022-02-03 01:18:03,59.54,30.8775,17.42,100,95,1.7,light snow
81,Codrington,AU,2022-02-03 01:18:03,-38.2667,141.9667,60.64,62,100,15.82,overcast clouds
82,Palu,ID,2022-02-03 01:18:04,-0.8917,119.8707,84.09,64,100,0.78,overcast clouds
83,Khatanga,RU,2022-02-03 01:18:04,71.9667,102.5,-36.22,99,36,2.19,scattered clouds
84,Pringsewu,ID,2022-02-03 01:18:05,-5.3582,104.9744,77.7,83,97,1.66,overcast clouds
85,Mudgee,AU,2022-02-03 01:18:05,-32.5943,149.5871,71.65,68,40,5.75,scattered clouds
86,Jasper,US,2022-02-03 01:18:05,37.2001,-94.3502,21.34,81,100,5.01,snow
87,Agua Verde,MX,2022-02-03 01:18:06,22.9,-106.05,71.04,65,7,6.42,clear sky
88,Atuona,PF,2022-02-03 01:17:08,-9.8,-139.0333,78.24,77,100,14.65,light rain
89,Port-Cartier,CA,2022-02-03 01:18:06,50.0334,-66.8654,28.51,93,100,10.33,overcast clouds
90,Praia Da Vitoria,PT,2022-02-03 01:19:07,38.7333,-27.0667,57.45,88,40,5.86,scattered clouds
91,Klaksvik,FO,2022-02-03 01:09:24,62.2266,-6.589,40.12,76,100,10.94,overcast clouds
92,Jackson,US,2022-02-03 01:19:07,42.4165,-122.8345,48.07,60,0,0.0,clear sky
93,Torbay,CA,2022-02-03 01:15:12,47.6666,-52.7314,22.28,91,40,11.5,scattered clouds
94,Bredasdorp,ZA,2022-02-03 01:10:30,-34.5322,20.0403,67.53,78,0,6.91,clear sky
95,Baykit,RU,2022-02-03 01:19:08,61.67,96.37,4.5,98,100,2.19,light snow
96,Minas,UY,2022-02-03 01:19:08,-34.3759,-55.2377,73.87,77,63,12.86,broken clouds
97,Morondava,MG,2022-02-03 01:19:09,-20.2833,44.2833,78.66,90,83,7.43,light rain
98,Boissevain,CA,2022-02-03 01:19:09,49.2306,-100.0559,-16.1,99,7,7.23,clear sky
99,Dikson,RU,2022-02-03 01:19:10,73.5069,80.5464,-6.81,97,100,12.28,overcast clouds
100,Georgetown,MY,2022-02-03 01:16:43,5.4112,100.3354,82.33,83,20,2.3,few clouds
101,Rocha,UY,2022-02-03 01:06:43,-34.4833,-54.3333,68.29,89,0,9.55,clear sky
102,Tonj,SS,2022-02-03 01:19:11,7.2737,28.6822,75.87,23,35,4.34,scattered clouds
103,Chokurdakh,RU,2022-02-03 01:19:11,70.6333,147.9167,-20.83,98,100,6.96,overcast clouds
104,Terrace Bay,CA,2022-02-03 01:19:11,48.7834,-87.1,-2.58,93,64,11.25,broken clouds
105,Bluff,NZ,2022-02-03 01:19:12,-46.6,168.3333,59.81,65,100,17.09,overcast clouds
106,Sibolga,ID,2022-02-03 01:19:12,1.7427,98.7792,77.97,82,24,1.92,few clouds
107,Pekan,MY,2022-02-03 01:19:12,3.4836,103.3996,77.11,85,34,7.94,scattered clouds
108,Fortuna,US,2022-02-03 01:19:13,40.5982,-124.1573,52.48,85,20,8.01,few clouds
109,Nikolskoye,RU,2022-02-03 01:10:27,59.7035,30.7861,17.49,99,95,1.63,overcast clouds
110,Kingsport,US,2022-02-03 01:15:43,36.5484,-82.5618,50.54,85,100,3.0,moderate rain
111,Havoysund,NO,2022-02-03 01:19:14,70.9963,24.6622,18.48,86,94,9.6,overcast clouds
112,Kavieng,PG,2022-02-03 01:19:14,-2.5744,150.7967,79.7,81,100,15.64,light rain
