City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
259,Buenos Aires,AR,82.96,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
263,Sinnamary,GF,78.13,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
266,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
278,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
288,Lubao,PH,82.42,few clouds,14.9167,120.55,Hacienda Gracia
293,Buchanan,LR,76.96,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
298,Canchungo,GW,75.27,few clouds,12.0672,-16.0333,Aparthotel Napalach
300,Singaraja,ID,83.97,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
309,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
310,Kismayo,SO,78.22,broken clouds,-0.3582,42.5454,Agan-Hotel
314,Vila Velha,BR,77.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
329,Kieta,PG,84.45,light rain,-6.2167,155.6333,Uruna Bay Retreat
331,Santa Cruz Cabralia,BR,80.83,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
332,Manadhoo,MV,80.91,scattered clouds,5.7667,73.3833,Bon Abri maldives
337,Gbadolite,CD,75.31,overcast clouds,4.2833,21.0167,Zenic
339,Belem,BR,78.84,clear sky,-1.4558,-48.5044,Mercure Belém Boulevard
343,San Cristobal,VE,75.38,few clouds,7.7669,-72.225,Pirineos
345,Makakilo City,US,79.61,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
349,Kota Belud,MY,82.26,scattered clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
350,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
351,Ko Samui,TH,84.11,scattered clouds,9.5357,99.9357,The Passage
354,Innisfail,AU,89.04,light rain,-17.5333,146.0333,Moondarra Motel
357,Vaitape,PF,81.19,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
360,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
363,Geraldton,AU,95.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
372,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
374,Punto Fijo,VE,78.42,clear sky,11.6956,-70.1996,Santa Fe Inn Hotel
378,Namatanai,PG,78.94,light rain,-3.6667,152.4333,Seagulls Inn Namatani
386,Puerto Carreno,CO,77.85,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
387,Portmore,JM,78.76,few clouds,17.9702,-76.8672,Salmon Way Inn
390,Santa Marta,CO,84.25,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
391,Bambous Virieux,MU,79.05,shower rain,-20.3428,57.7575,Casa Tia Villa
396,Araceli,PH,80.67,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
399,Tautira,PF,89.62,light rain,-17.7333,-149.15,Pension Oaoa
408,Santa Cruz,BO,78.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
413,Marang,MY,76.91,scattered clouds,5.2056,103.2059,DBarakah Homestay
