City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Panguna,PG,2022-01-30 20:55:48,-6.3164,155.4848,71.47,92,100,1.59
68,Ganzhou,CN,2022-01-30 20:55:48,28.8184,115.4327,38.91,83,100,4.03
69,De Aar,ZA,2022-01-30 20:55:48,-30.6497,24.0123,72.97,58,100,18.68
70,Bay Roberts,CA,2022-01-30 20:55:49,47.5999,-53.2648,44.33,81,100,8.99
71,Yenagoa,NG,2022-01-30 20:55:49,4.9247,6.2642,75.76,60,65,4.38
72,Cherskiy,RU,2022-01-30 20:50:05,68.75,161.3,-26.73,98,99,1.45
73,Cayenne,GF,2022-01-30 20:55:50,4.9333,-52.3333,78.84,89,75,1.99
74,New Norfolk,AU,2022-01-30 20:55:50,-42.7826,147.0587,58.66,76,5,1.97
75,Goderich,CA,2022-01-30 20:46:28,43.7501,-81.7165,22.91,63,88,6.91
76,Dikson,RU,2022-01-30 20:50:28,73.5069,80.5464,-2.78,93,100,20.98
77,Yar-Sale,RU,2022-01-30 20:47:06,66.8333,70.8333,-6.2,99,90,6.71
78,Dingle,PH,2022-01-30 20:49:33,10.9995,122.6711,74.5,93,82,3.42
79,Bredasdorp,ZA,2022-01-30 20:48:40,-34.5322,20.0403,70.92,78,99,8.05
80,Mitsamiouli,KM,2022-01-30 20:55:52,-11.3847,43.2844,80.67,74,3,3.58
81,Tura,IN,2022-01-30 20:55:52,25.5198,90.2201,52.2,59,3,3.36
82,Bikin,RU,2022-01-30 20:50:41,46.8161,134.26,-21.33,100,46,1.88
83,Butaritari,KI,2022-01-30 20:45:33,3.0707,172.7902,81.81,76,18,21.03
84,Katsuura,JP,2022-01-30 20:46:30,35.1333,140.3,39.31,53,100,11.01
85,Luderitz,NA,2022-01-30 20:52:14,-26.6481,15.1594,66.11,85,89,8.28
86,Lingao,CN,2022-01-30 20:55:53,19.9103,109.6859,64.98,92,100,14.5
87,Luena,AO,2022-01-30 20:55:54,-11.7833,19.9167,61.29,85,98,4.59
88,Clyde River,CA,2022-01-30 20:55:54,70.4692,-68.5914,-19.97,76,40,5.75
89,Svetlaya,RU,2022-01-30 20:55:54,46.5389,138.3297,-0.98,78,28,9.6
90,Souillac,MU,2022-01-30 20:53:32,-20.5167,57.5167,79.18,94,75,9.22
91,Ekibastuz,KZ,2022-01-30 20:55:55,51.6667,75.3667,11.12,87,44,12.97
92,Henderson,US,2022-01-30 20:52:12,36.0397,-114.9819,66.16,15,0,5.75
93,Kysyl-Syr,RU,2022-01-30 20:56:56,63.8986,122.7617,-26.18,100,100,3.15
94,Longyearbyen,SJ,2022-01-30 20:56:56,78.2186,15.6401,8.44,61,0,20.71
95,Vienne,AT,2022-01-30 20:53:23,48.2085,16.3721,44.42,55,75,5.99
96,Paamiut,GL,2022-01-30 20:56:57,61.994,-49.6678,12.45,74,100,6.06
97,Abong Mbang,CM,2022-01-30 20:56:57,3.9833,13.1833,69.84,29,100,0.65
98,Tuktoyaktuk,CA,2022-01-30 20:49:09,69.4541,-133.0374,-2.2,84,100,19.57
99,Ahipara,NZ,2022-01-30 20:56:58,-35.1667,173.1667,71.65,65,95,12.35
100,Hasaki,JP,2022-01-30 20:56:58,35.7333,140.8333,30.6,49,100,16.6
101,Namatanai,PG,2022-01-30 20:56:58,-3.6667,152.4333,79.79,80,100,3.44
102,Yellowknife,CA,2022-01-30 20:49:11,62.456,-114.3525,-7.58,95,100,6.91
103,Tubuala,PA,2022-01-30 20:56:59,9.5167,-79.0333,90.34,63,13,12.95
104,Santa Barbara,US,2022-01-30 20:53:21,34.7333,-120.0343,66.83,32,0,13.8
105,Mar Del Plata,AR,2022-01-30 20:50:31,-38.0023,-57.5575,69.82,92,75,21.0
106,Lorengau,PG,2022-01-30 20:57:00,-2.0226,147.2712,78.3,87,100,12.01
107,Plainview,US,2022-01-30 20:57:00,40.7765,-73.4673,27.46,50,19,3.0
108,Aldan,RU,2022-01-30 20:51:45,58.6031,125.3894,-13.52,99,100,3.38
109,Vaini,TO,2022-01-30 20:48:35,-21.2,-175.2,79.81,78,100,12.06
110,San Cristobal,VE,2022-01-30 20:50:35,7.7669,-72.225,71.78,57,95,4.81
111,Kaitangata,NZ,2022-01-30 20:49:36,-46.2817,169.8464,67.93,80,17,2.26
112,Tacoronte,ES,2022-01-30 20:57:01,28.4769,-16.4102,58.14,70,20,1.01
113,Kodiak,US,2022-01-30 20:57:02,57.79,-152.4072,26.11,68,40,14.97
114,Cape Town,ZA,2022-01-30 20:47:37,-33.9258,18.4232,68.11,77,0,8.01
115,Kovur,IN,2022-01-30 20:57:02,14.4833,79.9833,70.32,92,6,5.01
116,Mount Gambier,AU,2022-01-30 20:49:53,-37.8333,140.7667,62.51,94,100,6.91
117,Gasa,PS,2022-01-30 20:57:03,31.5,34.4667,49.98,68,0,7.52
118,San Patricio,US,2022-01-30 20:53:57,28.017,-97.5169,72.32,50,28,11.65
119,La Ronge,CA,2022-01-30 20:54:27,55.1001,-105.2842,12.42,79,100,9.22
120,Puerto Ayora,EC,2022-01-30 20:49:58,-0.7393,-90.3518,82.36,73,100,8.84
121,Bourail,NC,2022-01-30 20:57:04,-21.5667,165.4833,78.96,82,100,6.13
122,Bozoum,CF,2022-01-30 20:57:04,6.3193,16.3799,70.79,21,100,3.83
123,Morganton,US,2022-01-30 20:57:04,35.7454,-81.6848,49.91,33,0,4.0
124,Havoysund,NO,2022-01-30 20:49:00,70.9963,24.6622,32.23,62,92,14.16
125,Kuvandyk,RU,2022-01-30 20:57:05,51.4781,57.3552,27.0,94,100,13.85
126,Canico,PT,2022-01-30 20:49:12,32.6333,-16.85,65.12,87,40,1.99
127,Soyo,AO,2022-01-30 20:49:46,-6.1349,12.3689,79.2,86,100,5.44
128,Pyapon,MM,2022-01-30 20:47:44,16.2833,95.6833,62.44,82,63,6.49
129,Bluff,NZ,2022-01-30 20:47:04,-46.6,168.3333,64.8,87,96,4.9
130,Severo-Kurilsk,RU,2022-01-30 20:53:33,50.6789,156.125,27.55,94,100,12.75
131,Tiksi,RU,2022-01-30 20:57:06,71.6872,128.8694,-18.0,100,95,4.45
132,Saint George,US,2022-01-30 20:50:06,37.1041,-113.5841,63.07,18,0,1.99
133,Natal,BR,2022-01-30 20:43:54,-5.795,-35.2094,84.85,74,40,17.27
134,Mahebourg,MU,2022-01-30 20:50:40,-20.4081,57.7,79.09,94,75,9.22
135,Morgan City,US,2022-01-30 20:57:07,29.6994,-91.2068,66.99,49,0,11.25
136,Nkhotakota,MW,2022-01-30 20:57:07,-12.9274,34.2961,72.91,83,29,3.2
137,Ribeira Grande,PT,2022-01-30 20:48:37,38.5167,-28.7,59.4,63,40,20.71
138,Alyangula,AU,2022-01-30 20:51:00,-13.8483,136.4192,80.47,89,75,9.22
139,Northam,GB,2022-01-30 20:58:08,51.0333,-4.2167,50.4,93,84,26.87
140,Petropavlovsk-Kamchatskiy,RU,2022-01-30 20:58:09,53.0452,158.6483,12.79,85,75,4.47
141,Grand Gaube,MU,2022-01-30 20:53:34,-20.0064,57.6608,79.2,81,100,5.99
142,Solnechnyy,RU,2022-01-30 20:58:09,50.7214,136.6319,-11.15,98,87,3.15
143,Umea,SE,2022-01-30 20:57:39,63.8284,20.2597,15.91,92,0,4.61
144,Dafeng,CN,2022-01-30 20:58:10,23.4517,108.5881,45.66,90,100,6.58
145,Chokurdakh,RU,2022-01-30 20:49:33,70.6333,147.9167,-30.15,92,17,2.53
146,Aksu,CN,2022-01-30 20:58:11,41.1231,80.2644,22.37,54,4,1.41
147,Batagay-Alyta,RU,2022-01-30 20:54:39,67.8006,130.4114,-21.55,95,75,2.35
148,Tecoanapa,MX,2022-01-30 20:58:11,16.5167,-98.75,83.98,62,3,10.96
149,Khatanga,RU,2022-01-30 20:48:43,71.9667,102.5,-6.81,98,99,9.93
150,Ocos,GT,2022-01-30 20:52:58,14.5094,-92.1933,93.7,62,6,10.36
151,Nagua,DO,2022-01-30 20:58:12,19.3832,-69.8474,86.31,65,40,6.91
152,Cidreira,BR,2022-01-30 20:58:12,-30.1811,-50.2056,74.97,68,7,17.45
153,Zenzeli,RU,2022-01-30 20:58:13,45.9241,47.0474,32.25,76,10,4.94
154,Broken Hill,AU,2022-01-30 20:45:54,-31.95,141.4333,76.71,69,100,11.5
155,Darhan,MN,2022-01-30 20:58:13,49.4867,105.9228,-15.84,99,44,3.74
156,Laguna,US,2022-01-30 20:48:02,38.421,-121.4238,63.95,60,0,1.99
157,Beringovskiy,RU,2022-01-30 20:53:16,63.05,179.3167,-9.47,100,100,8.95
158,Hirara,JP,2022-01-30 20:54:07,24.8,125.2833,62.04,62,14,27.94
159,East London,ZA,2022-01-30 20:52:37,-33.0153,27.9116,74.34,85,77,14.32
160,Goianesia,BR,2022-01-30 20:58:14,-15.3175,-49.1175,71.24,95,100,3.11
161,Olinda,BR,2022-01-30 20:58:14,-8.0089,-34.8553,83.93,70,40,9.22
162,Talara,PE,2022-01-30 20:58:15,-4.5772,-81.2719,81.36,57,0,11.5
163,Samarai,PG,2022-01-30 20:45:53,-10.6167,150.6667,81.03,77,100,8.88
164,Dolores,AR,2022-01-30 20:53:45,-36.3132,-57.6792,82.99,49,49,8.7
165,Puerto Colombia,CO,2022-01-30 20:51:42,10.9878,-74.9547,86.09,71,4,19.6
166,Prescott,US,2022-01-30 20:55:22,34.54,-112.4685,58.89,31,13,3.0
167,Oktyabrskiy,RU,2022-01-30 20:58:16,54.4815,53.471,20.48,98,98,4.21
168,Katherine,AU,2022-01-30 20:58:16,-14.4667,132.2667,79.12,78,71,12.66
169,Buncrana,IE,2022-01-30 20:58:17,55.1333,-7.45,44.37,79,66,27.29
170,Adrar,MR,2022-01-30 20:53:43,20.5022,-10.0711,77.56,12,100,10.16
171,Staraya Kulatka,RU,2022-01-30 20:58:17,52.7167,47.6167,24.13,96,98,6.04
172,Araouane,ML,2022-01-30 20:50:49,18.9048,-3.5265,74.48,14,44,11.16
173,Camacari,BR,2022-01-30 20:58:18,-12.6975,-38.3242,83.97,75,51,8.7
174,Bengkulu,ID,2022-01-30 20:49:56,-3.8004,102.2655,75.97,89,100,3.27
175,Amahai,ID,2022-01-30 20:50:45,-3.3333,128.9167,78.6,82,100,9.22
176,Catamarca,AR,2022-01-30 20:58:18,-28.4696,-65.7852,92.77,41,11,4.0
177,Robertsport,LR,2022-01-30 20:58:19,6.7533,-11.3686,80.44,86,4,10.51
178,Portsmouth,GB,2022-01-30 20:58:19,50.799,-1.0913,47.5,90,100,10.0
179,Vestmannaeyjar,IS,2022-01-30 20:49:50,63.4427,-20.2734,31.55,62,100,39.03
180,Olafsvik,IS,2022-01-30 20:50:53,64.8945,-23.7142,27.79,55,100,35.54
181,Fortuna,US,2022-01-30 20:58:20,40.5982,-124.1573,58.93,70,0,1.99
182,Chuy,UY,2022-01-30 20:53:04,-33.6971,-53.4616,76.44,63,26,13.98
183,Kloulklubed,PW,2022-01-30 20:58:21,7.0419,134.2556,75.7,71,96,12.8
184,Saint-Pierre,RE,2022-01-30 20:48:59,-21.3393,55.4781,78.48,73,10,10.36
185,Xai-Xai,MZ,2022-01-30 20:59:21,-25.0519,33.6442,75.52,80,85,7.52
186,Berbera,SO,2022-01-30 20:59:22,10.4396,45.0143,74.08,66,32,7.94
187,Cam Ranh,VN,2022-01-30 20:59:22,11.9214,109.1591,71.56,88,20,2.3
188,Bonthe,SL,2022-01-30 20:59:22,7.5264,-12.505,79.05,82,6,9.48
189,Noumea,NC,2022-01-30 20:54:18,-22.2763,166.4572,81.0,99,100,8.93
190,Georgetown,MY,2022-01-30 20:50:09,5.4112,100.3354,81.9,91,20,0.0
191,Coquimbo,CL,2022-01-30 20:55:18,-29.9533,-71.3436,69.53,68,0,11.5
192,Chumikan,RU,2022-01-30 20:58:15,54.7183,135.315,-2.36,82,100,18.25
193,Yulara,AU,2022-01-30 20:58:45,-25.2406,130.9889,73.24,94,75,14.97
194,Nikolskoye,RU,2022-01-30 20:59:24,59.7035,30.7861,27.39,95,100,6.73
195,Constitucion,CL,2022-01-30 20:50:37,-35.3333,-72.4167,67.8,65,7,20.07
196,Pangnirtung,CA,2022-01-30 20:51:17,66.1451,-65.7125,-18.4,63,20,3.44
197,Bulgan,MN,2022-01-30 20:59:24,48.8125,103.5347,-9.53,89,4,3.94
